Row,Column,Well,Plate,Replicate,WellType,Strain,Drug
A,1,A1,PLT1,3,BLANK,NA,No drug
A,2,A2,PLT1,3,BLANK,NA,No drug
A,3,A3,PLT1,3,BLANK,NA,No drug
A,4,A4,PLT1,3,BLANK,NA,No drug
A,5,A5,PLT1,3,BLANK,NA,No drug
A,6,A6,PLT1,3,BLANK,NA,No drug
A,7,A7,PLT1,3,BLANK,NA,No drug
A,8,A8,PLT1,3,BLANK,NA,No drug
A,9,A9,PLT1,3,BLANK,NA,No drug
A,10,A10,PLT1,3,BLANK,NA,No drug
A,11,A11,PLT1,3,BLANK,NA,No drug
A,12,A12,PLT1,3,BLANK,NA,No drug
B,1,B1,PLT1,3,EMPTY,NA,No drug
B,2,B2,PLT1,3,DATA,IH_R27,STP
B,3,B3,PLT1,3,DATA,IH_R24,STP
B,4,B4,PLT1,3,DATA,AB13,STP
B,5,B5,PLT1,3,DATA,OH_RIF2,STP
B,6,B6,PLT1,3,DATA,HN_RIF3,STP
B,7,B7,PLT1,3,DATA,HN_RIF2,STP
B,8,B8,PLT1,3,DATA,HN_STP24,STP
B,9,B9,PLT1,3,DATA,HN_STP11,STP
B,10,B10,PLT1,3,DATA,HN_RIF7,STP
B,11,B11,PLT1,3,BLANK,NA,STP
B,12,B12,PLT1,3,EMPTY,NA,No drug
C,1,C1,PLT1,3,EMPTY,NA,No drug
C,2,C2,PLT1,3,DATA,IH_R27,RIF
C,3,C3,PLT1,3,DATA,IH_R24,RIF
C,4,C4,PLT1,3,DATA,AB13,RIF
C,5,C5,PLT1,3,DATA,OH_RIF2,RIF
C,6,C6,PLT1,3,DATA,HN_RIF3,RIF
C,7,C7,PLT1,3,DATA,HN_RIF2,RIF
C,8,C8,PLT1,3,DATA,HN_STP24,RIF
C,9,C9,PLT1,3,DATA,HN_STP11,RIF
C,10,C10,PLT1,3,DATA,HN_RIF7,RIF
C,11,C11,PLT1,3,BLANK,NA,RIF
C,12,C12,PLT1,3,EMPTY,NA,No drug
D,1,D1,PLT1,3,EMPTY,NA,No drug
D,2,D2,PLT1,3,EMPTY,NA,No drug
D,3,D3,PLT1,3,EMPTY,NA,No drug
D,4,D4,PLT1,3,EMPTY,NA,No drug
D,5,D5,PLT1,3,EMPTY,NA,No drug
D,6,D6,PLT1,3,EMPTY,NA,No drug
D,7,D7,PLT1,3,EMPTY,NA,No drug
D,8,D8,PLT1,3,EMPTY,NA,No drug
D,9,D9,PLT1,3,EMPTY,NA,No drug
D,10,D10,PLT1,3,EMPTY,NA,No drug
D,11,D11,PLT1,3,EMPTY,NA,No drug
D,12,D12,PLT1,3,EMPTY,NA,No drug
E,1,E1,PLT1,3,EMPTY,NA,No drug
E,2,E2,PLT1,3,DATA,IH_R27,STP + RIF
E,3,E3,PLT1,3,DATA,IH_R24,STP + RIF
E,4,E4,PLT1,3,DATA,AB13,STP + RIF
E,5,E5,PLT1,3,DATA,OH_RIF2,STP + RIF
E,6,E6,PLT1,3,DATA,HN_RIF3,STP + RIF
E,7,E7,PLT1,3,DATA,HN_RIF2,STP + RIF
E,8,E8,PLT1,3,DATA,HN_STP24,STP + RIF
E,9,E9,PLT1,3,DATA,HN_STP11,STP + RIF
E,10,E10,PLT1,3,DATA,HN_RIF7,STP + RIF
E,11,E11,PLT1,3,BLANK,NA,STP + RIF
E,12,E12,PLT1,3,EMPTY,NA,No drug
F,1,F1,PLT1,3,EMPTY,NA,No drug
F,2,F2,PLT1,3,DATA,IH_R27,No drug
F,3,F3,PLT1,3,DATA,IH_R24,No drug
F,4,F4,PLT1,3,DATA,AB13,No drug
F,5,F5,PLT1,3,DATA,OH_RIF2,No drug
F,6,F6,PLT1,3,DATA,HN_RIF3,No drug
F,7,F7,PLT1,3,DATA,HN_RIF2,No drug
F,8,F8,PLT1,3,DATA,HN_STP24,No drug
F,9,F9,PLT1,3,DATA,HN_STP11,No drug
F,10,F10,PLT1,3,DATA,HN_RIF7,No drug
F,11,F11,PLT1,3,BLANK,NA,No drug
F,12,F12,PLT1,3,EMPTY,NA,No drug
G,1,G1,PLT1,3,EMPTY,NA,No drug
G,2,G2,PLT1,3,EMPTY,NA,No drug
G,3,G3,PLT1,3,EMPTY,NA,No drug
G,4,G4,PLT1,3,EMPTY,NA,No drug
G,5,G5,PLT1,3,EMPTY,NA,No drug
G,6,G6,PLT1,3,EMPTY,NA,No drug
G,7,G7,PLT1,3,EMPTY,NA,No drug
G,8,G8,PLT1,3,EMPTY,NA,No drug
G,9,G9,PLT1,3,EMPTY,NA,No drug
G,10,G10,PLT1,3,EMPTY,NA,No drug
G,11,G11,PLT1,3,EMPTY,NA,No drug
G,12,G12,PLT1,3,EMPTY,NA,No drug
H,1,H1,PLT1,3,BLANK,NA,No drug
H,2,H2,PLT1,3,BLANK,NA,No drug
H,3,H3,PLT1,3,BLANK,NA,No drug
H,4,H4,PLT1,3,BLANK,NA,No drug
H,5,H5,PLT1,3,BLANK,NA,No drug
H,6,H6,PLT1,3,BLANK,NA,No drug
H,7,H7,PLT1,3,BLANK,NA,No drug
H,8,H8,PLT1,3,BLANK,NA,No drug
H,9,H9,PLT1,3,BLANK,NA,No drug
H,10,H10,PLT1,3,BLANK,NA,No drug
H,11,H11,PLT1,3,BLANK,NA,No drug
H,12,H12,PLT1,3,BLANK,NA,No drug
