Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD,Treatment_f
AB3,com+,290720,T01,STR AB3 SHIFT 1,A1,1,A,STR,1,X,1.076,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,A2,2,A,STR,1,X,1.049,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,A3,3,A,STR,1,X,1.007,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,A4,4,A,STR,1,S,0.916,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,A5,5,A,STR,1,S,0.869,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,A6,6,A,STR,1,S,0.875,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,B1,1,B,STR,2,X,0.901,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,B2,2,B,STR,2,X,0.897,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,B3,3,B,STR,2,X,0.875,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,B4,4,B,STR,2,S,0.855,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,B5,5,B,STR,2,S,0.868,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,B6,6,B,STR,2,S,0.873,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,C1,1,C,STR,3,X,0.854,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,C2,2,C,STR,3,X,0.875,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,C3,3,C,STR,3,X,0.848,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,C4,4,C,STR,3,S,0.84,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,C5,5,C,STR,3,S,0.824,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,C6,6,C,STR,3,S,0.851,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,D1,1,D,STR,4,X,0.884,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,D2,2,D,STR,4,X,0.845,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,D3,3,D,STR,4,X,0.833,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,D4,4,D,STR,4,S,0.81,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,D5,5,D,STR,4,S,0.802,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 1,D6,6,D,STR,4,S,0.817,STP only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,A1,1,A,RIF,1,X,1.005,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,A2,2,A,RIF,1,X,1.058,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,A3,3,A,RIF,1,X,0.99,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,A4,4,A,RIF,1,R,0.938,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,A5,5,A,RIF,1,R,0.934,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,A6,6,A,RIF,1,R,1.029,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,B1,1,B,RIF,2,X,0.9,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,B2,2,B,RIF,2,X,0.919,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,B3,3,B,RIF,2,X,0.871,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 1,B4,4,B,RIF,2,R,0.85,RIF only
